	SRR19625066_R1_filtered.fastq.gz	SRR19625067_R1_filtered.fastq.gz	SRR19625068_R1_filtered.fastq.gz	SRR19625069_R1_filtered.fastq.gz	SRR19625070_R1_filtered.fastq.gz	SRR19625071_R1_filtered.fastq.gz	SRR19625072_R1_filtered.fastq.gz	SRR19625073_R1_filtered.fastq.gz	SRR19625074_R1_filtered.fastq.gz	SRR19625075_R1_filtered.fastq.gz	SRR19625076_R1_filtered.fastq.gz	SRR19625077_R1_filtered.fastq.gz	SRR19625078_R1_filtered.fastq.gz	SRR19625079_R1_filtered.fastq.gz	SRR19625080_R1_filtered.fastq.gz	SRR19625081_R1_filtered.fastq.gz	SRR19625082_R1_filtered.fastq.gz	SRR19625083_R1_filtered.fastq.gz	SRR19625084_R1_filtered.fastq.gz	SRR19625085_R1_filtered.fastq.gz	SRR19625086_R1_filtered.fastq.gz	SRR19625087_R1_filtered.fastq.gz	SRR19625088_R1_filtered.fastq.gz	SRR19625089_R1_filtered.fastq.gz	SRR19625090_R1_filtered.fastq.gz	SRR19625091_R1_filtered.fastq.gz	SRR19625092_R1_filtered.fastq.gz	SRR19625093_R1_filtered.fastq.gz	SRR19625094_R1_filtered.fastq.gz	SRR19625095_R1_filtered.fastq.gz	SRR19625096_R1_filtered.fastq.gz	SRR19625097_R1_filtered.fastq.gz	SRR19625098_R1_filtered.fastq.gz	SRR19625099_R1_filtered.fastq.gz	SRR19625100_R1_filtered.fastq.gz	SRR19625101_R1_filtered.fastq.gz	SRR19625102_R1_filtered.fastq.gz	SRR19625103_R1_filtered.fastq.gz	SRR19625104_R1_filtered.fastq.gz	SRR19625105_R1_filtered.fastq.gz	SRR19625106_R1_filtered.fastq.gz	SRR19625107_R1_filtered.fastq.gz	SRR19625108_R1_filtered.fastq.gz	SRR19625109_R1_filtered.fastq.gz	SRR19625110_R1_filtered.fastq.gz	SRR19625111_R1_filtered.fastq.gz	SRR19625112_R1_filtered.fastq.gz	SRR19625113_R1_filtered.fastq.gz	SRR19625114_R1_filtered.fastq.gz	SRR19625115_R1_filtered.fastq.gz	SRR19625116_R1_filtered.fastq.gz	SRR19625117_R1_filtered.fastq.gz	SRR19625118_R1_filtered.fastq.gz	SRR19625119_R1_filtered.fastq.gz	SRR19625120_R1_filtered.fastq.gz	SRR19625121_R1_filtered.fastq.gz	SRR19625122_R1_filtered.fastq.gz	SRR19625123_R1_filtered.fastq.gz	SRR19625124_R1_filtered.fastq.gz	SRR19625125_R1_filtered.fastq.gz	SRR19625126_R1_filtered.fastq.gz	SRR19625127_R1_filtered.fastq.gz	SRR19625128_R1_filtered.fastq.gz	SRR19625129_R1_filtered.fastq.gz	SRR19625130_R1_filtered.fastq.gz	SRR19625131_R1_filtered.fastq.gz	SRR19625132_R1_filtered.fastq.gz	SRR19625133_R1_filtered.fastq.gz	SRR19625134_R1_filtered.fastq.gz	SRR19625135_R1_filtered.fastq.gz	SRR19625136_R1_filtered.fastq.gz	SRR19625137_R1_filtered.fastq.gz
ASV_22	27	0	77	0	110	64	50	0	75	75	0	99	53	0	0	0	0	0	70	34	0	93	0	0	106	0	0	0	57	0	0	49	38	0	58	0	0	0	107	35	0	54	61	0	116	0	0	118	146	57	68	0	74	0	0	129	69	98	0	36	0	46	0	0	0	310	0	158	0	114	0	28
ASV_23	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	194	0	0	56	400	0	57	0	0	150	144	0	0	0	0	0	0
ASV_24	0	0	53	0	91	45	52	0	0	53	0	43	54	0	22	68	0	0	60	0	0	47	0	0	84	0	0	280	149	104	0	57	0	335	0	0	203	0	0	49	0	49	86	0	93	0	0	70	138	110	0	0	0	0	0	84	0	103	0	0	39	0	0	0	0	82	0	46	0	60	0	0
ASV_25	0	0	0	0	157	59	74	51	0	53	0	55	0	0	0	0	0	0	69	0	43	54	0	47	55	0	183	0	63	244	0	180	0	0	0	0	0	0	93	0	0	0	0	0	112	0	0	85	154	0	97	0	0	0	72	75	0	0	51	0	44	56	0	0	0	137	0	145	110	51	95	0
ASV_26	0	0	63	0	76	79	0	0	29	57	0	111	51	0	0	56	0	0	55	0	163	99	0	0	96	0	0	0	59	0	0	6	0	0	0	25	0	0	114	58	0	65	40	0	124	0	0	86	78	9	56	0	51	0	0	117	51	124	25	36	0	89	0	0	0	169	0	83	0	70	0	189
ASV_27	0	0	57	0	93	0	51	0	52	69	0	73	50	0	42	51	0	0	56	0	0	92	0	0	90	0	0	0	64	0	0	0	0	0	58	0	0	0	111	39	0	55	0	0	123	0	0	117	63	0	0	0	90	0	0	134	72	80	0	0	0	123	0	0	0	325	0	124	0	108	0	186
ASV_28	0	0	66	0	89	61	0	0	50	58	0	97	52	0	0	0	0	0	80	0	0	108	0	0	99	0	0	0	56	0	0	0	0	0	37	0	0	0	96	0	0	40	0	0	119	0	0	129	87	43	41	0	74	0	0	157	71	107	0	0	0	116	0	0	0	310	0	148	0	67	0	137
ASV_29	0	0	59	41	0	50	59	0	0	0	0	68	90	0	0	79	43	0	83	0	44	79	0	40	58	0	0	32	65	0	0	0	0	96	0	0	0	0	100	188	42	0	131	0	94	0	0	96	84	0	0	0	96	0	0	81	0	83	53	0	68	53	0	34	0	141	0	0	0	69	98	97
ASV_30	0	0	70	0	67	86	0	0	36	47	0	93	56	0	0	42	0	0	62	0	0	123	0	0	111	0	0	0	79	0	0	9	0	0	0	34	0	0	144	34	0	56	41	0	110	0	0	90	80	4	52	0	45	0	0	136	52	98	0	0	67	80	0	0	0	202	0	97	0	73	0	154
ASV_31	66	29	48	46	35	0	29	0	154	34	39	0	26	0	0	67	48	0	55	64	42	0	0	22	0	0	83	20	0	38	130	0	72	20	0	0	60	58	31	74	41	0	46	30	0	50	0	42	54	22	63	92	0	33	43	0	53	0	0	37	0	38	0	12	2	56	39	20	0	94	62	81
ASV_32	0	0	63	0	0	21	0	0	0	127	340	0	68	173	0	43	42	0	35	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	133	0	0	37	0	0	58	0	0	54	0	0	168	0	52	0	0	176	54	119	0	0	218	0	0	0	0	0	0	112	0	0	0	0	158	87
ASV_33	0	0	119	34	0	53	77	14	126	103	0	49	0	0	0	0	0	0	47	0	22	0	0	48	65	9	122	0	95	0	0	0	0	0	138	0	18	0	72	0	0	0	76	0	79	0	0	0	63	0	73	0	0	0	15	56	0	64	20	81	33	66	0	90	0	79	0	0	0	94	0	130
ASV_34	137	0	65	0	39	26	36	0	0	37	0	26	32	0	64	46	66	0	57	57	0	43	0	142	48	0	0	106	0	57	0	85	0	0	0	0	242	0	22	0	0	0	36	0	39	0	0	27	44	46	36	0	0	155	0	0	61	33	0	0	0	0	0	0	0	69	144	0	0	32	0	49
ASV_35	0	0	77	0	132	82	0	0	0	0	0	88	0	0	37	0	0	0	71	0	0	121	0	0	109	0	0	0	83	0	0	0	0	0	26	0	0	0	121	0	0	57	0	0	140	0	0	76	100	0	58	0	68	0	0	113	49	94	0	0	0	114	0	0	0	182	0	104	0	68	0	0
ASV_36	0	0	64	0	74	48	25	0	52	0	0	97	50	0	0	34	0	0	77	61	0	123	0	0	81	0	0	0	64	0	0	0	41	0	0	0	0	0	105	36	0	0	31	0	71	0	0	16	80	7	0	0	68	0	0	91	0	115	0	0	0	130	0	0	0	232	0	132	0	75	0	90
ASV_37	0	0	49	0	70	51	0	0	58	0	0	75	0	0	0	0	0	0	50	0	0	86	0	0	91	0	0	0	66	25	0	0	0	0	0	0	0	0	105	0	0	61	0	0	96	0	0	93	91	0	0	0	69	33	0	166	44	99	0	0	0	106	0	0	0	260	0	126	0	81	0	82
ASV_38	170	0	65	0	55	57	0	0	0	63	0	54	59	0	0	35	61	0	98	0	0	34	194	0	0	0	0	0	0	34	0	261	0	0	0	0	0	0	69	36	0	0	0	0	131	0	0	37	51	0	24	0	55	91	0	70	82	74	0	0	0	0	0	0	0	49	0	0	0	28	0	85
ASV_39	0	0	54	0	70	79	0	0	31	43	0	80	50	0	0	62	0	0	59	0	0	90	0	0	94	0	0	0	79	0	0	9	0	0	0	0	0	0	173	22	0	62	36	0	113	0	0	70	81	9	52	0	33	0	0	124	53	89	0	0	0	70	0	0	0	142	0	93	0	64	0	21
ASV_40	0	0	69	0	58	53	30	0	46	0	0	84	40	0	0	44	0	0	68	23	0	90	0	0	64	0	0	0	70	0	0	0	0	0	0	0	0	0	100	26	0	0	37	0	101	0	0	12	84	8	0	0	87	0	0	68	0	88	0	0	0	109	93	0	0	213	0	110	0	101	0	113
ASV_41	0	0	44	41	74	7	14	10	41	49	0	66	0	0	0	41	134	0	58	0	0	164	0	0	48	0	48	0	0	0	0	0	0	0	148	0	7	0	75	0	0	0	85	0	107	0	0	79	65	0	58	0	0	0	0	58	0	60	14	0	18	0	0	0	0	124	0	109	0	117	65	59
ASV_42	0	0	85	0	105	0	0	277	0	0	0	0	0	191	0	112	0	0	63	0	0	151	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	34	0	0	91	0	0	0	106	0	0	0	0	0	0	81	0	0	0	80	0	0	0	0	0	79	0	0	215	0	0	0
ASV_43	0	0	61	37	56	25	38	0	0	0	0	34	45	0	22	33	38	0	82	0	35	66	0	0	114	0	0	0	31	46	0	0	0	0	0	0	0	0	37	31	0	89	42	0	31	0	0	35	86	101	24	0	0	100	82	36	0	33	21	17	41	91	0	0	0	82	220	0	0	0	0	82
ASV_44	0	0	45	0	112	0	67	46	139	67	0	58	0	0	0	74	0	0	82	0	0	0	0	103	96	0	0	76	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	312	67	0	0	101	0	0	0	0	0	0	0	0	99	61	54	0	48	48	0	0	0	137	0	0	0	66	0	0
ASV_45	28	23	32	42	37	0	29	0	0	38	32	77	28	45	0	61	37	0	62	66	35	0	0	0	0	0	59	35	0	37	0	0	0	50	0	98	38	73	46	55	0	0	40	27	0	0	0	36	40	31	40	86	0	26	41	0	68	0	0	22	0	0	151	8	4	88	0	0	41	0	51	51
ASV_46	0	0	64	0	65	67	0	0	0	0	0	83	0	0	0	0	0	0	69	35	0	77	0	0	83	0	0	0	79	0	0	0	0	0	80	0	0	0	97	0	0	57	0	0	92	0	0	65	58	50	37	0	55	0	0	83	0	77	0	0	0	116	0	0	0	139	0	107	0	62	0	203
ASV_47	43	26	35	29	48	0	64	0	0	26	36	0	33	0	0	76	33	0	51	67	43	0	0	50	156	0	95	27	0	53	0	0	0	0	0	0	32	50	48	47	20	0	25	19	0	74	0	27	42	50	56	86	0	29	27	0	43	0	0	28	0	44	0	4	0	50	65	0	67	0	75	0
ASV_48	0	0	59	0	75	62	31	0	48	0	0	76	47	0	0	39	0	0	64	29	0	113	0	0	73	0	0	0	70	0	0	0	20	0	0	0	0	0	90	32	0	0	32	0	72	0	0	13	102	4	0	0	89	0	0	90	0	92	0	0	0	102	0	0	0	182	0	122	0	101	0	0
ASV_49	0	0	63	0	0	72	36	0	0	0	0	86	35	0	0	0	0	0	53	0	0	106	0	0	107	0	0	0	72	0	0	0	0	0	72	0	0	0	131	0	0	47	48	0	105	0	0	79	0	0	0	0	51	0	0	109	0	72	0	0	0	84	0	0	0	190	0	96	0	47	0	161
ASV_50	0	0	55	0	39	30	39	0	0	0	0	73	33	0	35	46	44	0	70	0	33	48	0	0	0	0	0	175	0	44	0	0	0	0	0	0	141	183	46	40	0	0	41	0	41	0	0	39	71	0	40	0	0	0	40	33	0	64	32	0	27	0	0	0	0	83	0	0	0	0	132	102
ASV_51	0	0	40	39	65	0	0	58	0	0	0	0	0	0	0	64	0	0	35	73	0	0	0	39	0	0	76	0	0	0	37	0	0	0	0	0	49	72	0	57	0	209	46	0	0	0	0	0	0	51	53	70	60	42	0	85	48	0	0	37	0	0	0	51	27	73	81	0	126	0	58	86
ASV_52	0	192	0	0	103	53	0	0	0	69	0	0	0	0	0	0	185	0	98	0	0	0	0	0	67	0	0	84	177	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	96	0	0	65	124	0	0	0	0	0	0	0	58	0	0	0	82	0	0	0	0	97	0	67	0	0	0	150
ASV_53	141	0	40	0	44	25	40	0	0	0	0	0	36	0	21	48	50	0	75	0	37	48	0	50	231	0	139	0	0	38	0	101	0	0	0	0	0	0	0	47	0	35	39	0	42	170	0	53	62	0	41	0	0	0	0	43	0	58	40	0	41	0	0	0	0	50	0	0	0	0	0	0
ASV_54	0	0	61	0	59	39	40	0	0	60	0	59	46	0	0	100	0	0	67	0	0	40	0	0	38	0	272	0	0	0	0	41	0	0	0	0	0	0	0	58	0	30	0	0	52	0	0	71	68	0	56	0	0	0	0	74	0	31	0	0	50	0	0	0	246	61	0	34	0	52	0	72
ASV_55	0	0	64	0	58	42	0	0	43	54	0	85	30	0	0	23	0	0	49	0	0	57	0	0	65	0	0	0	88	0	0	52	0	0	90	74	0	0	65	0	0	59	0	0	72	0	0	54	73	0	0	0	49	0	0	57	0	43	0	0	0	69	0	0	0	138	0	90	0	77	0	121
ASV_56	0	0	55	49	73	0	9	0	0	57	0	69	51	0	0	42	0	0	76	0	53	133	12	7	63	0	0	0	84	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	91	0	0	64	0	41	64	0	49	65	0	95	0	65	13	0	11	100	0	0	0	133	0	0	0	76	54	0
ASV_57	0	0	54	0	90	48	33	0	0	0	0	79	47	0	0	44	0	0	73	0	0	98	0	0	71	39	0	0	51	0	0	7	0	0	0	0	0	0	106	20	0	37	0	0	96	0	0	71	71	5	0	0	38	0	0	48	46	91	0	0	0	85	0	0	0	199	0	113	0	7	0	20
ASV_58	0	0	0	0	64	42	0	0	32	38	0	78	40	0	0	47	0	0	57	0	0	67	0	0	76	0	0	0	63	0	0	33	0	0	0	24	0	0	104	30	0	32	32	0	106	0	0	89	76	34	43	0	37	0	0	88	0	96	0	0	0	78	0	0	0	130	0	69	0	10	0	66
ASV_59	0	0	89	0	105	0	0	0	0	0	0	95	50	0	0	0	0	0	95	0	0	0	0	417	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	148	0	83	0	0	63	147	0	0	0	0	0	0	77	0	61	0	0	0	0	0	0	0	100	0	0	0	55	0	107
ASV_60	0	0	0	31	63	0	67	0	0	52	0	56	0	0	0	0	72	0	71	0	0	144	0	51	71	0	0	29	103	0	0	0	0	0	0	0	0	0	75	0	52	0	0	0	59	0	0	135	54	0	36	0	47	37	7	0	0	0	13	0	39	48	0	0	0	106	0	129	0	0	0	97
ASV_61	238	0	66	0	0	32	0	0	0	0	0	0	82	0	0	65	47	0	0	0	31	0	92	225	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	38	0	0	45	0	0	0	0	423	0	0	36	0	0	0	36	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
ASV_62	0	0	50	0	68	45	32	0	0	0	0	67	53	0	0	48	0	0	50	0	0	70	0	0	58	0	0	0	45	0	0	3	0	0	0	0	0	0	76	21	0	36	0	0	85	0	0	67	64	7	0	0	52	0	0	71	58	72	0	0	0	91	0	0	0	202	0	105	0	7	0	130
ASV_63	0	0	69	0	64	33	0	0	49	52	0	86	45	0	0	27	0	0	52	0	0	82	0	0	86	0	0	0	64	0	0	35	0	0	67	0	0	0	56	0	0	46	0	0	55	0	0	60	62	0	0	0	54	0	0	71	0	53	0	0	0	59	0	0	0	150	0	79	0	51	0	103
